file_size,fragments,error_type,error_rate_pct,errors_injected,trials,successes,success_rate,status
1000,42,substitution,0.1%,0,3,3,100.0,PASS
1000,42,substitution,0.5%,0,3,3,100.0,PASS
1000,42,substitution,1.0%,41,3,3,100.0,PASS
1000,42,substitution,2.0%,83,3,0,0.0,FAIL
1000,42,substitution,5.0%,207,3,0,0.0,FAIL
1000,42,deletion,0.1%,0,3,3,100.0,PASS
1000,42,deletion,0.5%,0,3,3,100.0,PASS
1000,42,deletion,1.0%,41,3,0,0.0,FAIL
1000,42,deletion,2.0%,83,3,0,0.0,FAIL
1000,42,deletion,5.0%,207,3,0,0.0,FAIL
1000,42,insertion,0.1%,0,3,3,100.0,PASS
1000,42,insertion,0.5%,0,3,3,100.0,PASS
1000,42,insertion,1.0%,41,3,0,0.0,FAIL
1000,42,insertion,2.0%,83,3,0,0.0,FAIL
1000,42,insertion,5.0%,207,3,0,0.0,FAIL
5000,202,substitution,0.1%,0,3,3,100.0,PASS
5000,202,substitution,0.5%,0,3,3,100.0,PASS
5000,202,substitution,1.0%,201,3,3,100.0,PASS
5000,202,substitution,2.0%,403,3,0,0.0,FAIL
5000,202,substitution,5.0%,1007,3,0,0.0,FAIL
5000,202,deletion,0.1%,0,3,3,100.0,PASS
5000,202,deletion,0.5%,0,3,3,100.0,PASS
5000,202,deletion,1.0%,201,3,0,0.0,FAIL
5000,202,deletion,2.0%,403,3,0,0.0,FAIL
5000,202,deletion,5.0%,1007,3,0,0.0,FAIL
5000,202,insertion,0.1%,0,3,3,100.0,PASS
5000,202,insertion,0.5%,0,3,3,100.0,PASS
5000,202,insertion,1.0%,201,3,0,0.0,FAIL
5000,202,insertion,2.0%,403,3,0,0.0,FAIL
5000,202,insertion,5.0%,1007,3,0,0.0,FAIL
10000,402,substitution,0.1%,0,3,3,100.0,PASS
10000,402,substitution,0.5%,0,3,3,100.0,PASS
10000,402,substitution,1.0%,401,3,3,100.0,PASS
10000,402,substitution,2.0%,803,3,0,0.0,FAIL
10000,402,substitution,5.0%,2007,3,0,0.0,FAIL
10000,402,deletion,0.1%,0,3,3,100.0,PASS
10000,402,deletion,0.5%,0,3,3,100.0,PASS
10000,402,deletion,1.0%,401,3,0,0.0,FAIL
10000,402,deletion,2.0%,803,3,0,0.0,FAIL
10000,402,deletion,5.0%,2007,3,0,0.0,FAIL
10000,402,insertion,0.1%,0,3,3,100.0,PASS
10000,402,insertion,0.5%,0,3,3,100.0,PASS
10000,402,insertion,1.0%,401,3,0,0.0,FAIL
10000,402,insertion,2.0%,803,3,0,0.0,FAIL
10000,402,insertion,5.0%,2007,3,0,0.0,FAIL
